2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
23292.0,143072.0,186817.0,167236.0,191955.0
2122.0,9409.0,18621.0,17146.0,11158.0
1391915688.697,733967695.482,746419960.305,863855568.472,813157902.221
220587.0,186369.0,201916.0,192112.0,231302.0
5016.2,7850.9,1076.85,4903.0,4608.6
0.0,72490379.738,28724617.6,13652806.12,14421446.5
1793533.0,1611630.006,5281080.147,5024787.300000001,5214022.333000001
456861.38,429059.0,424922.0,312994.0,264691.0
391794.88,230693.565,315787.605,235903.03,364877.0
0.0,1488.0,2424.0,2884.0,1044.0
668337666.32,738659067.241,832995086.5320001,898636070.701,964465785.5080001
804061.018,4140367.34,7385421.0,5229846.636,5587203.305
2080938278.25,1920407360.8,1796251118.92,1480040185.2,1451811617.667
806466.0,957895.0,755235.0,826165.0,758028.0
0.0,0.0,22791.0,70626.0,70934.0
131103.0,158571.0,169938.0,175080.0,43536.0
1003284.0,7622979.0,24001457.0,112528603.243,120067775.347
0.0,0.0,0.0,0.0,32656.0
0.0,0.0,0.0,0.0,50495.0
0.0,0.0,0.0,0.0,279.5
10956941.484000001,5953670.75,5187198.5,2500228.0,1601791.822
